routeviews,napafrica,2001:43f8:6d0::9:66
routeviews,napafrica,2001:43f8:6d0::9:155
routeviews,napafrica,2001:43f8:6d0::113
routeviews,napafrica,196.60.8.113
routeviews,napafrica,2001:43f8:6d0::10:69
routeviews,napafrica,2001:43f8:6d0::10:232
routeviews,napafrica,196.60.10.232
routeviews,napafrica,196.60.10.195
routeviews,napafrica,2001:43f8:6d0::10:195
routeviews,napafrica,2001:43f8:6d0::1b
routeviews,napafrica,196.60.8.152
routeviews,napafrica,2001:43f8:6d0::179
routeviews,napafrica,196.60.8.179
routeviews,napafrica,2001:43f8:6d0::10:28
routeviews,napafrica,196.60.10.28
routeviews,napafrica,2001:43f8:6d0::21
routeviews,napafrica,196.60.8.142
routeviews,napafrica,196.60.8.178
routeviews,napafrica,2001:43f8:6d0::178
routeviews,napafrica,2001:43f8:6d0::19
routeviews,napafrica,196.60.8.60
routeviews,napafrica,196.60.8.185
routeviews,napafrica,2001:43f8:6d0::185
routeviews,napafrica,2001:43f8:6d0::6
routeviews,napafrica,196.60.8.6
routeviews,napafrica,2001:43f8:6d0::2
routeviews,napafrica,2001:43f8:6d0::3
routeviews,nwax,2620:124:2000::15
routeviews,nwax,198.32.195.15
routeviews,nwax,198.32.195.30
routeviews,perth,218.100.52.247
routeviews,perth,218.100.76.80
routeviews,perth,2001:7fa:11:1::156d:0:1
routeviews,perth,2001:7fa:11:2:2:156d::1
routeviews,perth,2001:7fa:11:4:2:156d::1
routeviews,perth,218.100.54.1
routeviews,perth,218.100.54.126
routeviews,perth,218.100.76.1
routeviews,perth,218.100.76.254
routeviews,perth,218.100.52.1
routeviews,perth,218.100.52.254
routeviews,perth,218.100.78.1
routeviews,perth,218.100.78.254
routeviews,perth,27.106.192.1
routeviews,perth,27.106.192.2
routeviews,perth,218.100.52.62
routeviews,perth,218.100.76.17
routeviews,perth,218.100.78.46
routeviews,perth,2001:7fa:11:4:2:2553::1
routeviews,perth,2001:7fa:11:1:2:2553::1
routeviews,perth,2001:7fa:11:2:2:2553::1
routeviews,perth,218.100.52.60
routeviews,perth,2001:7fa:11:4::c188:0:1
routeviews,perth,2001:7fa:11::1db6:0:1
routeviews,perth,2001:7fa:11::1db6:0:2
routeviews,perth,2001:7fa:11:2::1db6:0:1
routeviews,perth,2001:7fa:11:2::1db6:0:2
routeviews,perth,2001:7fa:11:4::1db6:0:1
routeviews,perth,2001:7fa:11:4::1db6:0:2
routeviews,perth,218.100.76.5
routeviews,perth,2001:7fa:11:2::1daa:0:1
routeviews,routeviews2,198.58.198.252
routeviews,routeviews2,140.192.8.16
routeviews,routeviews2,137.164.16.84
routeviews,routeviews2,45.61.0.85
routeviews,routeviews2,202.232.0.3
routeviews,routeviews2,129.250.1.71
routeviews,routeviews2,198.129.33.85
routeviews,routeviews2,147.28.7.2
routeviews,routeviews2,89.149.178.10
routeviews,routeviews2,217.192.89.50
